id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Deep Study,Ambient Works,ambient,focused,0.30,65,0.55,0.38,0.94
12,Neon Jungle,Voltline,synthwave,moody,0.80,120,0.45,0.77,0.08
13,Slow Sunday,Paper Lanterns,jazz,relaxed,0.33,85,0.74,0.50,0.91
14,Peak Performance,Max Pulse,rock,intense,0.95,158,0.40,0.70,0.06
15,Golden Hour,Indigo Parade,indie pop,happy,0.68,112,0.88,0.75,0.42
16,Rainfall Meditation,Orbit Bloom,ambient,chill,0.22,55,0.62,0.30,0.97
17,Late Night Hustle,LoRoom,lofi,focused,0.45,84,0.53,0.64,0.74
18,Electric Feel,Neon Echo,pop,happy,0.85,126,0.90,0.86,0.12
19,Velvet Underground,Slow Stereo,jazz,moody,0.41,95,0.60,0.48,0.88
20,Trail Blazer,Max Pulse,rock,intense,0.88,144,0.44,0.68,0.09
